stock_low,stock_high,stock_freq,infl_low,infl_high,infl_freq
-0.34,-0.32,1,-0.01,0.00,1
-0.32,-0.29,0,0.00,0.01,0
-0.29,-0.27,0,0.01,0.01,0
-0.27,-0.24,0,0.01,0.02,0
-0.24,-0.22,0,0.02,0.02,4
-0.22,-0.19,0,0.02,0.03,3
-0.19,-0.17,2,0.03,0.03,7
-0.17,-0.14,0,0.03,0.04,5
-0.14,-0.12,0,0.04,0.04,3
-0.12,-0.09,1,0.04,0.05,3
-0.09,-0.07,1,0.05,0.05,1
-0.07,-0.04,2,0.05,0.06,1
-0.04,-0.02,2,0.06,0.06,0
-0.02,0.01,1,0.06,0.07,1
0.01,0.04,3,0.07,0.07,1
0.04,0.06,2,0.07,0.08,0
0.06,0.09,1,0.08,0.08,1
0.09,0.11,0,0.08,0.09,0
0.11,0.14,2,0.09,0.09,0
0.14,0.16,2,0.09,0.10,0
0.16,0.19,2,0.10,0.10,0
0.19,0.21,4,0.10,0.11,1
0.21,0.24,2,0.11,0.11,0
0.24,0.26,2,0.11,0.12,1
0.26,0.29,3,0.12,0.12,0
0.29,0.31,0,0.12,0.13,0
0.31,0.34,1,0.13,0.13,0
,,,0.13,0.14,0
,,,0.14,0.14,1
